,document_type,publication_year,publication_date,article_title,source_title,authors,abstract,"times_cited,_all_databases",marine_content,dimension,novelty_study_type,novelty_measured,system,notes
31,Review,2022,AUG,Marine Autotroph-Herbivore Synergies: Unravelling the Roles of Macroalgae in Marine Ecosystem Dynamics,BIOLOGY-BASEL,"Cheng, A; Lim, WY; Lim, PE; Amri, AY; Poong, SW; Song, SL; Ilham, Z","Simple Summary Invasive species are a leading hazard to marine ecosystems worldwide, coupled with climate change. Tackling the emerging biodiversity threat to maintain the ecological balance of the largest biome in the world has now become a pivotal part of the Sustainable Development Goals (SDGs). Marine herbivores are generally regarded as biological agents that restrict invasive species, and their efficiency depends on their dietary habits, especially the autotrophs they eat. Many researchers have found contradicting findings on the effects of nutritional attributes and novelty of autotrophs on herbivore eating behaviour. In light of the scattered literature on the mechanistic basis of autotroph-herbivore interactions, we provide a comprehensive review to fill knowledge gaps about synergies based on macroalgae, an important group of photosynthetic organisms in the marine biome that interact strongly with generalist herbivores. We also analyse macroalgal defence measures against herbivores, underlining unique features and potential roles in maintaining marine ecosystems. The nutritional qualities, shape, and novelty of autotrophs can alter herbivore feeding behaviour. Future research should explore aspects that can alter marine autotroph-herbivore interactions to resolve inconsistent results of specific features and the uniqueness of the organisms involved. Species invasion is a leading threat to marine ecosystems worldwide, being deemed as one of the ultimate jeopardies for biodiversity along with climate change. Tackling the emerging biodiversity threat to maintain the ecological balance of the largest biome in the world has now become a pivotal part of the Sustainable Development Goals (SDGs). Marine herbivores are often considered as biological agents that control the spread of invasive species, and their effectiveness depends largely on factors that influence their feeding preferences, including the specific attributes of their food-the autotrophs. While the marine autotroph-herbivore interactions have been substantially discussed globally, many studies have reported contradictory findings on the effects of nutritional attributes and novelty of autotrophs on herbivore feeding behaviour. In view of the scattered literature on the mechanistic basis of autotroph-herbivore interactions, we generate a comprehensive review to furnish insights into critical knowledge gaps about the synergies based largely on the characteristics of macroalgae; an important group of photosynthetic organisms in the marine biome that interact strongly with generalist herbivores. We also discuss the key defence strategies of these macroalgae against the herbivores, highlighting their unique attributes and plausible roles in keeping the marine ecosystems intact. Overall, the feeding behaviour of herbivores can be affected by the nutritional attributes, morphology, and novelty of the autotrophs. We recommend that future research should carefully consider different factors that can potentially affect the dynamics of the marine autotroph-herbivore interactions to resolve the inconsistent results of specific attributes and novelty of the organisms involved.",8,TRUE,technical,trophic_nutrition,FALSE,macroalgae,
32,Review,2022,NOV,Application of Probiotics for Environmentally Friendly and Sustainable Aquaculture: A Review,SUSTAINABILITY,"Hancz, C","Aquaculture plays an important role in food production for the world population and at the same time for the livelihood of the most needed globally. The concerns about sustainability and ecological health are growing in this extremely diversified sector just like in the whole agriculture industry. The use of probiotics in aquaculture already has a long history and has served from the beginning the goals of more sustainable production; however, the expansion of intensive systems along with global climate change produces new challenges. The present work aims to provide an overview of the most relevant literature. Firstly, the microbiome of aquatic animals and its functioning is surveyed followed by the aims and methods of probiotic application. The screening and testing of novel probiotics are also assessed as well as the scientific and technical novelties in probiotics research. The mainstream development in probiotic research aims to serve the sustainability of aquaculture in all respects including traditional animal health, feed efficiency, and environmental issues. New state-of-the-art techniques may lead to a future paradigm change in aquaculture under the aegis of the Blue Revolution.",23,TRUE,technical,biotechnology,FALSE,probiotics_aquaculture,
33,Editorial Material,2023,Dec-12,Genomics of Marine Larval Evolution and Development,INTEGRATIVE AND COMPARATIVE BIOLOGY,"Zakas, C; Martin-Duran, JM","Functional and ecological genomics in emerging marine models is shaping our views on new and fundamental biological questions. Representing a wealth of morphological, behavioral, and developmental adaptations, marine organisms are a key group for studying ancestral and shared body plan patterns, as well as some of the most intriguing novelties in animals. Here, we outline key questions, resources, and approaches to advance our understanding of marine larva biology and evolution that were covered in the recent symposium Genomics of marine larval evolution and development. Over 2 days, researchers from multiple continents, career stages, and research interests, covering a range of taxonomic diversity, contributed to three emerging topics: (1) Understanding the genetic basis of larval morphology and behaviors; (2) Finding the genomic basis for body plan development and novel morphologies; and (3) Constructing genomic tools in development for comparative insights. In this short piece, we highlight some of the most relevant findings on how different developmental modes and larval forms evolve.",0,TRUE,technical,zoology,FALSE,physiology,another bauplan morphological novelty
34,Article,2018,Jun-26,An antifungal polyketide associated with horizontally acquired genes supports symbiont-mediated defense in Lagria villosa beetles,NATURE COMMUNICATIONS,"Flórez, LV; Scherlach, K; Miller, IJ; Rodrigues, A; Kwan, JC; Hertweck, C; Kaltenpoth, M","Microbial symbionts are often a source of chemical novelty and can contribute to host defense against antagonists. However, the ecological relevance of chemical mediators remains unclear for most systems. Lagria beetles live in symbiosis with multiple strains of Burkholderia bacteria that protect their offspring against pathogens. Here, we describe the antifungal polyketide lagriamide, and provide evidence supporting that it is produced by an uncultured symbiont, Burkholderia gladioli Lv-StB, which is dominant in field-collected Lagria villosa. Interestingly, lagriamide is structurally similar to bistramides, defensive compounds found in marine tunicates. We identify a gene cluster that is probably involved in lagriamide biosynthesis, provide evidence for horizontal acquisition of these genes, and show that the naturally occurring symbiont strains on the egg are protective in the soil environment. Our findings highlight the potential of microbial symbionts and horizontal gene transfer as influential sources of ecological innovation.",96,FALSE,NA,NA,NA,NA,
35,News Item,2015,JUN,Getting specific: making taxonomic and ecological sense of large sequencing data sets,MOLECULAR ECOLOGY,"Massana, R","Eukaryotic microbes comprise a diverse collection of phototrophic and heterotrophic creatures known to play fundamental roles in ecological processes. Some can be identified by light microscopy, generally the largest and with conspicuous shapes, while the smallest can be counted by epifluorescence microscopy or flow cytometry but remain largely unidentified. Microbial diversity studies greatly advanced with the analysis of phylogenetic markers sequenced from natural assemblages. Molecular surveys began in 1990 targeting marine bacterioplankton (Giovannoni etal. ) and first approached microbial eukaryotes in three studies published in 2001 (Diez etal. ; Lopez-Garcia etal. ; Moon-van der Staay etal. ). These seminal studies, based on cloning and Sanger sequencing the complete 18S rDNA, were critical for obtaining broad pictures of microbial diversity in contrasted habitats and for describing novel lineages by robust phylogenies, but were limited by the number of sequences obtained. So, inventories of species richness in a given sample and community comparisons through environmental gradients were very incomplete. These limitations have been overcome with the advent of high-throughput sequencing (HTS) methods, initially 454-pyrosequencing, today Illumina and soon others to come. In this issue of Molecular Ecology, Egge etal. () show a nice example of the use of HTS to study the biodiversity and seasonal succession of a particularly important group of marine microbial eukaryotes, the haptophytes. Temporal changes were analysed first at the community level, then at the clade level, and finally at the lowest rank comparable to species. Interesting and useful ecological insights were obtained at each taxonomic scale. Haptophyte diversity differed along seasons in a systematic manner, with some species showing seasonal preferences and others being always present. Many of these species had no correspondence with known species, pointing out the high level of novelty in microbial assemblages, only accessible by molecular tools. Moreover, the number of species detected was limited, agreeing with a putative scenario of constrained evolutionary diversification in free-living small eukaryotes. This study illustrates the potential of HTS to address ecological relevant questions in an accessible way by processing large data sets that, nonetheless, need to be treated with a fair understanding of their limitations.",2,FALSE,NA,NA,NA,NA,
36,Editorial Material,2022,Nov-02,"Introduction: Ecology, Music and Community-Exploring Performance in South Asia",SOUTH ASIA-JOURNAL OF SOUTH ASIAN STUDIES,"Basu, P; Kapuria, R","This essay offers an introduction to a special section on ecology and performance in South Asia. Aiming at 'green' studies of music and performance, this collection explores intersections between ethnography, history, eco- and ethnomusicology, and film and performance studies by paying particular attention to the ecological turn more broadly visible in South Asian studies. The papers address varied ecological settings of South Asian music and performance, from riverscapes to coastal communities, and from the locations of instrument-makers to negotiations of the climate crisis and the COVID-19 pandemic. The novelty of the section lies not just in mapping the dialogism between ecology and music through reflections on liminality, gender, resistance and identity, but also in bringing forth new archival strategies (digitisation and digital cultures) in conversation with ethnographic findings.",2,FALSE,NA,NA,NA,NA,
37,Article,2013,JUN,ECOLOGICAL ROLE OF HYBRIDIZATION IN ADAPTIVE RADIATIONS: A CASE STUDY IN THE DUBAUTIA ARBOREA-DUBAUTIA CILIOLATA (ASTERACEAE) COMPLEX,INTERNATIONAL JOURNAL OF PLANT SCIENCES,"García-Verdugo, C; Friar, E; Santiago, LS","Premise of research. Hybridization is a mechanism frequently invoked to account for the spectacular radiations observed in oceanic islands, but, surprisingly, there is little empirical support for its ecological role in island plant radiations. Theory predicts that hybridization should provide individuals with the phenotypic novelty required for habitat shifts, thus promoting conditions for subsequent speciation. In this article, we studied the first stages of this process using two hybridizing species of Dubautia (Asteraceae), the most diversified genus of the Hawaiian silversword radiation. Methodology. Phenotypic and habitat differentiation were investigated in two recently derived species (Dubautia arborea and Dubautia ciliolata) and a hybrid zone. Morphological trait expression and physiological trait expression under field and common garden conditions and microclimatic variation were analyzed to address the patterns of differentiation among parental species and hybrids. Pivotal results. Our analyses showed that parental species occupied contrasting habitats and represented the extremes of phenotypic variation. Conversely, hybrids displayed novel phenotypes outside parental ranges, generating a continuum of intermediate phenotypes in the study system. We also found a strong relationship between morphological and physiological variation and plant performance, which suggests that broad phenotypic variation in hybrids could be favored by the environmental heterogeneity of the hybrid zone. Conclusions. The initial expectations for the ecological role of hybridization in adaptive radiations are confirmed in this Dubautia system, in which hybrids of closely related species display novel morphological and physiological variation associated with the colonization of a new habitat. To understand the evolutionary processes creating an unusual degree of variation within particular lineages, molecular",19,FALSE,NA,NA,NA,NA,
38,Article,2020,JAN,Evidence for a genetically distinct strain of introduced Hydrilla verticillata (Hydrocharitaceae) in North America,JOURNAL OF AQUATIC PLANT MANAGEMENT,"Tippery, NP; Bugbee, GJ; Stebbins, SE","The invasive aquatic weed hydrilla [Hydrilla verticillata (L.f.) Royle] exists in North America as two genetically and morphologically distinct strains, with the dioecious strain mostly found in the southern United States and the monoecious strain being more northern, including previously known sites in Connecticut. In 2016 an additional hydrilla population was located in a portion of the Connecticut River in Hartford County, Connecticut, with unusual morphological features relative to other Connecticut populations. Hydrilla plants from this population were subjected to genetic testing, and their molecular sequences for one chloroplast (trnL-F) and two nuclear gene regions (internal transcribed spacer and phytoene desaturase) were compared against published data. The Connecticut River hydrilla plants are distinct from all known North American plants, representing a novel introduction, likely from northern Eurasia. The genetic novelty of this recent introduction may present additional ecological and management challenges beyond what has been encountered for hydrilla to date.",11,TRUE,ecological,invasion_biology,FALSE,invasive_plant,
39,Article,2014,JUN,Similar anxiolytic effects of agonists targeting serotonin 5-HT1A or cannabinoid CB receptors on zebrafish behavior in novel environments,AQUATIC TOXICOLOGY,"Connors, KA; Valenti, TW; Lawless, K; Sackerman, J; Onaivi, ES; Brooks, BW; Gould, GG","The discovery that selective serotonin reuptake inhibitors (SSRIs) such as fluoxetine are present and bioaccumulate in aquatic ecosystems have spurred studies of fish serotonin transporters (SERTs) and changes in SSRI-sensitive behaviors as adverse outcomes relevant for risk assessment. Many SSRIs also act at serotonin 5-HT1A receptors. Since capitalizing on this action may improve treatments of clinical depression and other psychiatric disorders, novel multimodal drugs that agonize 5-HT1A and block SERT were introduced. In mammals both 5-HT1A and CB agonists, such as buspirone and WIN55,212-2, reduce anxious behaviors. Immunological and behavioral evidence suggests that 5-HT1A-like receptors may function similarly in zebrafish (Danio rerio), yet their pharmacological properties are not well characterized. Herein we compared the density of [H-3] 8-hydroxy-2-di-n-propylamino tetralin (8-OH-DPAT) binding to 5-HT1A-like sites in the zebrafish brain, to that of similarly God/o-coupled cannabinoid receptors. [H-3] 8-OH-DPAT specific binding was 176 +/- 8, 275 +/- 32, and 230 +/- 36 fmol/mg protein in the hypothalamus, optic tectum, and telencephalon. [H-3] WIN55,212-2 binding density was higher in those same brain regions at 6 +/- 0.3, 5.5 +/- 0.4 and 7.3 +/- 0.3 pm/mg protein. The aquatic light-dark plus maze was used to examine behavioral effects of 5-HT1A and CB receptor agonists on zebrafish novelty-based anxiety. With acute exposure to the 5-HT1A partial-agonist buspirone (50 mg/L), or dietary exposure to WIN55,212-2 (7 mu g/week) zebrafish spent more time in and/or entered white arms more often than controls (p<0.05). Acute exposure to WIN55,212-2 at 0.5-50 mg/L reduced mobility. These behavioral findings suggest that azipirones, like cannabinoid agonists, have anxiolytic and/or sedative properties on fish in novel environments. These observations highlight the need to consider potential ecological risks of azapirones and multimodal antidepressants in the future. (C) 2013 Elsevier B.V. All rights reserved.",70,FALSE,NA,NA,NA,NA,
40,Article,2012,AUG,Genomic and functional analysis of Vibrio phage SIO-2 reveals novel insights into ecology and evolution of marine siphoviruses,ENVIRONMENTAL MICROBIOLOGY,"Baudoux, AC; Hendrix, RW; Lander, GC; Bailly, X; Podell, S; Paillard, C; Johnson, JE; Potter, CS; Carragher, B; Azam, F","We report on a genomic and functional analysis of a novel marine siphovirus, the Vibrio phage SIO-2. This phage is lytic for related Vibrio species of great ecological interest including the broadly antagonistic bacterium Vibrio sp. SWAT3 as well as notable members of the Harveyi clade (V. harveyi ATTC BAA-1116 and V. campbellii ATCC 25920). Vibrio phage SIO-2 has a circularly permuted genome of 80 598 bp, which displays unusual features. This genome is larger than that of most known siphoviruses and only 38 of the 116 predicted proteins had homologues in databases. Another divergence is manifest by the origin of core genes, most of which share robust similarities with unrelated viruses and bacteria spanning a wide range of phyla. These core genes are arranged in the same order as in most bacteriophages but they are unusually interspaced at two places with insertions of DNA comprising a high density of uncharacterized genes. The acquisition of these DNA inserts is associated with morphological variation of SIO-2 capsid, which assembles as a large (80 nm) shell with a novel T = 12 symmetry. These atypical structural features confer on SIO-2 a remarkable stability to a variety of physical, chemical and environmental factors. Given this high level of functional and genomic novelty, SIO-2 emerges as a model of considerable interest in ecological and evolutionary studies.",48,TRUE,technical,new_species,TRUE,viruses,novel genome and functions -- of a phage
41,Article,2022,APR,Environmental influences on human innovation and behavioural diversity in southern Africa 92-80 thousand years ago,NATURE ECOLOGY & EVOLUTION,"Mackay, A; Armitage, SJ; Niespolo, EM; Sharp, WD; Stahlschmidt, MC; Blackwood, AF; Boyd, KC; Chase, BM; Lagle, SE; Kaplan, CF; Low, MA; Martisius, NL; McNeill, PJ; Moffat, I; O'Driscoll, CA; Rudd, R; Orton, J; Steele, TE","Africa's Middle Stone Age preserves sporadic evidence for novel behaviours among early modern humans, prompting a range of questions about the influence of social and environmental factors on patterns of human behavioural evolution. Here we document a suite of novel adaptations dating approximately 92-80 thousand years before the present at the archaeological site Varsche Rivier 003 (VR003), located in southern Africa's arid Succulent Karoo biome. Distinctive innovations include the production of ostrich eggshell artefacts, long-distance transportation of marine molluscs and systematic use of heat shatter in stone tool production, none of which occur in coeval assemblages at sites in more humid, well-studied regions immediately to the south. The appearance of these novelties at VR003 corresponds with a period of reduced regional wind strength and enhanced summer rainfall, and all of them disappear with increasing winter rainfall dominance after 80 thousand years before the present, following which a pattern of technological similarity emerges at sites throughout the broader region. The results indicate complex and environmentally contingent processes of innovation and cultural transmission in southern Africa during the Middle Stone Age. Evidence of ostrich eggshell artefacts, long-distance transport of marine shells and heat treatment of stone tools in a marginal southern African environment 92-80 thousand years ago suggests that innovation among early human groups was sensitive to ecological variation.",29,FALSE,NA,NA,NA,NA,
42,Article,2019,JUN,Coral reef ecosystem services in the Anthropocene,FUNCTIONAL ECOLOGY,"Woodhead, AJ; Hicks, CC; Norström, AV; Williams, GJ; Graham, NAJ","Coral reefs underpin a range of ecosystem goods and services that contribute to the well-being of millions of people. However, tropical coral reefs in the Anthropocene are likely to be functionally different from reefs in the past. In this perspective piece, we ask, what does the Anthropocene mean for the provision of ecosystem services from coral reefs? First, we provide examples of the provisioning, regulating, cultural and supporting services underpinned by coral reef ecosystems. We conclude that coral reef ecosystem service research has lagged behind multidisciplinary advances in broader ecosystem services science, such as an explicit recognition that interactions between social and ecological systems underpin ecosystem services. Second, drawing on tools from functional ecology, we outline how these social-ecological relationships can be incorporated into a mechanistic understanding of service provision and how this might be used to anticipate future changes in coral reef ecosystem services. Finally, we explore the emergence of novel reef ecosystem services, for example from tropicalized coastlines, or through changing technological connections to coral reefs. Indeed, when services are conceived as coming from social-ecological system dynamics, novelty in services can emerge from elements of the interactions between people and the ecosystem. This synthesis of the coral reef ecosystem services literature suggests the field is poorly prepared to understand the changing service provision anticipated in the Anthropocene. A new research agenda is needed that better connects reef functional ecology to ecosystem service provision. This research agenda should embrace more holistic approaches to ecosystem service research, recognizing them as co-produced by ecosystems and society. Importantly, the likelihood of novel ecosystem service configurations requires further conceptualization and empirical assessment. As with current ecosystem services, the loss or gain of services will not affect all people equally and must be understood in the context in which they occur. With the uncertainty surrounding the future of coral reefs in the Anthropocene, research exploring how the benefits to people change will be of great importance. A is available for this article.",382,TRUE,ecological,theoretical,FALSE,coral_reef,
43,Article,2020,FEB,Exploratory behaviour is associated with microhabitat and evolutionary radiation in Lake Malawi cichlids,ANIMAL BEHAVIOUR,"Johnson, ZV; Moore, EC; Wong, RY; Godwin, JR; Streelman, JT; Roberts, RB","Encountering and adaptively responding to unfamiliar or novel stimuli is a fundamental challenge facing animals and is linked to fitness. Behavioural responses to novel stimuli can differ strongly between closely related species; however, the ecological and evolutionary factors underlying these differences are not well understood, in part because most comparative investigations have focused on only two species. In this study, we investigate behavioural responses to novel environments, or exploratory behaviours, sampling from a total of 20 species in a previously untested vertebrate system, Lake Malawi cichlid fishes, which comprises hundreds of phenotypically diverse species that have diverged in the past one million years. We show generally conserved behavioural response patterns to different types of environmental stimuli in Lake Malawi cichlids, spanning multiple assays and paralleling other teleost and rodent lineages. Next, we demonstrate that more specific dimensions of exploratory behaviour vary strongly among Lake Malawi cichlids, and that a large proportion of this variation is explained by species differences. We further show that species differences in open field behaviours are explained by microhabitat and by a major evolutionary split between the mbuna and benthic/utaka radiations in Lake Malawi. Lastly, we track some individuals across a subset of behavioural assays and show that patterns of behavioural covariation across contexts are characteristic of modular complex traits. Taken together, our results tie ecology and evolution to natural behavioural variation, and highlight Lake Malawi cichlids as a powerful system for understanding the biological basis of exploratory behaviours. Published by Elsevier Ltd on behalf of The Association for the Study of Animal Behaviour.",17,TRUE,technical,behavioural,FALSE,lake_fish,"novel (i.e., new, unknown) stimuli in environment"
44,Article,2020,Feb-25,"The body plan of Halszkaraptor escuilliei (Dinosauria, Theropoda) is not a transitional form along the evolution of dromaeosaurid hypercarnivory",PEERJ,"Cau, A","The dromaeosaurid theropod Halszkaraptor escuilliei is characterized by several unusual features absent in other paravians, part of which has been interpreted as diagnostic of a novel lineage adapted to a semiaquatic ecology. Recently, these evolutionary and ecological interpretations have been challenged, and Halszkaraptor has been claimed to be a transitional form between non-dromaeosaurid maniraptoriforms and other dromaeosaurids: following that reevaluation, its peculiar body plan would represent the retention of several maniraptoran plesiomorphies, lost among other dromaeosaurids, and not an adaptation to a novel ecology. This alternative scenario is here carefully investigated and tested. It is shown that most statements supporting this scenario are based on misinterpretation of anatomical traits and bibliography. Once these statements have been corrected, character state transition optimization over a well-supported phylogenetic framework indicates that the large majority of the peculiar features of the Halszkaraptor lineage are derived novelties acquired by the latter after its divergence from the last ancestor shared with eudromaeosaurs, and thus are not maniraptoriform plesiomorphies. At least seven novelties of the Halszkaraptor lineage are convergently acquired with spinosaurids, and are integrated in semiaquatic adaptations: one of these is reported here for the first time. The amount of morphological divergence of Halszkaraptorinae from the ancestral dromaeosaurid condition is comparable to those of Microraptorinae and Velociraptorinae. Among extant taxa, the sawbills (Mergini, Anseriformes) show the closest ecomorphological similarity with the peculiar body plan inferred for Halszkaraptor. The halszkaraptorine bauplan is thus confirmed as a derived amphibious specialization, and does not represent a transitional stage along the evolution of dromaeosaurids.",22,FALSE,NA,NA,NA,NA,
45,Article,2018,Jun-14,Metabarcoding analysis on European coastal samples reveals new molecular metazoan diversity,SCIENTIFIC REPORTS,"López-Escardó, D; Paps, J; de Vargas, C; Massana, R; Ruiz-Trillo, I; del Campo, J","Although animals are among the best studied organisms, we still lack a full description of their diversity, especially for microscopic taxa. This is partly due to the time-consuming and costly nature of surveying animal diversity through morphological and molecular studies of individual taxa. A powerful alternative is the use of high-throughput environmental sequencing, providing molecular data from all organisms sampled. We here address the unknown diversity of animal phyla in marine environments using an extensive dataset designed to assess eukaryotic ribosomal diversity among European coastal locations. A multi-phylum assessment of marine animal diversity that includes water column and sediments, oxic and anoxic environments, and both DNA and RNA templates, revealed a high percentage of novel 18S rRNA sequences in most phyla, suggesting that marine environments have not yet been fully sampled at a molecular level. This novelty is especially high among Platyhelminthes, Acoelomorpha, and Nematoda, which are well studied from a morphological perspective and abundant in benthic environments. We also identified, based on molecular data, a potentially novel group of widespread tunicates. Moreover, we recovered a high number of reads for Ctenophora and Cnidaria in the smaller fractions suggesting their gametes might play a greater ecological role than previously suspected.",33,TRUE,technical,new_species,TRUE,coastal,animal diversity along coast through metabarcoding shows novel RNA and novel tunicate group -- this novel genetics is interesting (but you've got your own terms)
46,Review,2017,NA,Unassisted invasions: understanding and responding to Australia's high-impact environmental grass weeds,AUSTRALIAN JOURNAL OF BOTANY,"van Klinken, RD; Friedel, MH","Alien grass species have been intentionally introduced into Australia since European settlement over 200 years ago, with many subsequently becoming weeds of natural environments. We have identified the subset of these weeds that have invaded and become dominant in environmentally important areas in the absence of modern anthropogenic disturbance, calling them 'high-impact species'. We also examined why these high-impact species were successful, and what that might mean for management. Seventeen high-impact species were identified through literature review and expert advice; all had arrived by 1945, and all except one were imported intentionally, 16 of the 17 were perennial and four of the 17 were aquatic. They had become dominant in diverse habitats and climates, although some environments still remain largely uninvaded despite apparently ample opportunities. Why these species succeeded remains largely untested, but evidence suggests a combination of ecological novelty (both intended at time of introduction and unanticipated), propagule pressure (through high reproductive rate and dominance in nearby anthropogenically-disturbed habitats) and an ability to respond to, and even alter, natural disturbance regimes (especially fire and inundation). Serious knowledge gaps remain for these species, but indications are that resources could be better focused on understanding and managing this limited group of high-impact species. They require new management approaches, especially to counteract the advantages of ecological novelty, reduce propagule pressure and better direct the large-scale disturbance regimes that continue to shape plant communities across Australia.",20,FALSE,NA,NA,NA,NA,
47,Article,2020,NOV-DEC,Elucidating the Diversity and Potential Function of Nonribosomal Peptide and Polyketide Biosynthetic Gene Clusters in the Root Microbiome,MSYSTEMS,"Dror, B; Wang, ZQ; Brady, SF; Jurkevitch, E; Cytryn, E","Polyketides (PKs) and nonribosomal peptides (NRPs) are two microbial secondary metabolite (SM) families known for their variety of functions, including antimicrobials, siderophores, and others. Despite their involvement in bacterium-bacterium and bacterium-plant interactions, root-associated SMs are largely unexplored due to the limited cultivability of bacteria. Here, we analyzed the diversity and expression of SM-encoding biosynthetic gene clusters (BGCs) in root microbiomes by culture-independent amplicon sequencing, shotgun metagenomics, and metatranscriptomics. Roots (tomato and lettuce) harbored distinct compositions of nonribosomal peptide synthetases (NRPSs) and polyketide synthases (PKSs) relative to the adjacent bulk soil, and specific BGC markers were both enriched and highly expressed in the root microbiomes. While several of the highly abundant and expressed sequences were remotely associated with known BGCs, the low similarity to characterized genes suggests their potential novelty. Low-similarity genes were screened against a large set of soil-derived cosmid libraries, from which five whole BGCs of unknown function were retrieved. Three clusters were taxonomically affiliated with Actinobacteria, while the remaining were not associated with known bacteria. One Streptomyces-derived BGC was predicted to encode a polyene with potential antifungal activity, while the others were too novel to predict chemical structure. Screening against a suite of metagenomic data sets revealed higher abundances of retrieved clusters in roots and soil samples. In contrast, they were almost completely absent in aquatic and gut environments, supporting the notion that they might play an important role in root ecosystems. Overall, our results indicate that root microbiomes harbor a specific assemblage of undiscovered SMs. IMPORTANCE We identified distinct secondary-metabolite-encoding genes that are enriched (relative to adjacent bulk soil) and expressed in root ecosystems yet almost completely absent in human gut and aquatic environments. Several of the genes were distantly related to genes encoding antimicrobials and siderophores, and their high sequence variability relative to known sequences suggests that they may encode novel metabolites and may have unique ecological functions. This study demonstrates that plant roots harbor a diverse array of unique secondary-metabolite-encoding genes that are highly enriched and expressed in the root ecosystem. The secondary metabolites encoded by these genes might assist the bacteria that produce them in colonization and persistence in the root environment. To explore this hypothesis, future investigations should assess their potential role in interbacterial and bacterium-plant interactions.",26,FALSE,NA,NA,NA,NA,
48,Article,2013,SEP,"Microbial biodiversity in saline shallow lakes of the Monegros Desert, Spain",FEMS MICROBIOLOGY ECOLOGY,"Casamayor, EO; Triadó-Margarit, X; Castañeda, C","The Monegros Desert contains one of the largest sets of inland saline lakes in Europe constituting a threatened landscape of great scientific and ecological value with large number of reported endemisms. We analyzed bacteria, archaea, and microbial eukaryotes from 11 saline lakes in winter and spring by rRNA gene fingerprinting and sequencing covering large salinity (2.7-22.1%) and temperature ranges (1.5-35.3 degrees C). The highest ecological diversity (Shannon-Weaver index) was found in protists and the lowest in Archaea. Eukaryotes showed higher ecological diversity at intermediate salinities, whereas Bacteria and Archaea did not. The genetic diversity was broad and with remarkable novelty. The highest novelty was found in Archaea at the lowest saline concentrations, whereas for bacteria and protists, no differences were observed along the gradient. Euryarchaeota of the enigmatic group DHVEG-6 and phylotypes distantly related to well-known haloarchaea were present in several sites. Recurrent presence of bacterial phylotypes distantly related to Psychroflexus and Cryomorphaceae initially isolated from polar marine habitats was observed. Saline lakes contained chlorophyta, among other new groups, substantially different from green algae previously reported in marine or freshwater. The great scientific and ecological value found for macroorganisms can be extended to the idiosyncratic microorganisms inhabiting such unique habitat in Europe.",86,TRUE,technical,new_species,TRUE,microbial,
49,Review,2017,DEC,A reappraisal of the role of humans in the biotic disturbance of islands,ENVIRONMENTAL CONSERVATION,"Delgado, JD; Riera, R; Rodríguez, RA; González-Moreno, P; Fernández-Palacios, JM","Traditionally, islands have been used as ecological and biogeographical models because of their assumed ecological simplicity, reduced ecosystem size and isolation. The vast number of Earth's oceanic islands play a key role in maintaining global biodiversity and serve as a rich source of evolutionary novelty. Research into the factors determining diversity patterns on islands must disentangle natural phenomena from anthropogenic causes of habitat transformation, interruption and enhancement of biological fluxes and species losses and gains in these geographically and ecologically limited environments. The anthropogenic ecological forcing of communication through global transport has profound implications regarding island-continent links. Anthropogenic disturbances along continental margins and insular coasts contribute to shaping island biotas in ecological time, but also have evolutionary consequences of global resonance. Patterns of human landscape and resource use (geographical space and ecological communities and species), as well as increasing ecological connectivity of oceanic islands and mainland, are chief driving forces in island biogeography that should be reappraised. Global indirect effects of human activities (i.e. climate change) may also affect islands and interact with these processes. We review the implications of direct and indirect anthropogenic disturbances on island biotic patterns, focusing on island size, isolation and introduced exotic species, as well as the unsettled issue of oceanic island ecological vulnerability.",13,TRUE,technical,evolutionary,FALSE,islands,
50,Review,1998,NA,"Early evolution of land plants: Phylogeny, physiology, and ecology of the primary terrestrial radiation",ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS,"Bateman, RM; Crane, PR; DiMichele, WA; Kenrick, PR; Rowe, NP; Speck, T; Stein, WE","The Siluro-Devonian primary radiation of land biotas is the terrestrial equivalent of the much-debated Cambrian explosion of marine faunas. Both show the hallmarks of novelty radiations (phenotypic diversity increases much more rapidly than species diversity across an ecologically undersaturated and thus low-competition landscape), and both ended with the formation of evolutionary and ecological frameworks analogous to those of modem ecosystems. Profound improvements in understanding early land plant evolution reflect recent liberations from several research constraints: Cladistic techniques plus DNA sequence data from extant relatives have prompted revolutionary reinterpretations of land plant phylogeny, and thus of systematics and character-state acquisition patterns. Biomechanical and physiological experimental techniques developed for extant plants have been extrapolated to fossil species, with interpretations both aided and complicated by the recent knowledge that global landmass positions, currents, climates, and atmospheric compositions have been profoundly variable (and thus nonuniformitarian) through the Phanerozoic. Combining phylogenetic and paleoecological data offers potential insights into the identity and function of key innovations, though current evidence suggests the importance of accumulating within lineages a critical mass of phenotypic character. Challenges to further progress include the lack of sequence data and paucity of phenotypic features among the early land plant clades, and a fossil record still inadequate to date accurately certain crucial evolutionary and ecological events.",303,FALSE,NA,NA,NA,NA,
